"Evidence statement GUID","Study GUID"
"CG10ES12","CG10ST77"
"CG10ES12","CG10ST80"
"CG10ES12","CG10ST94"
"CG10ES12","CG10ST98"
"CG10ES12","CG10ST103"
"CG10ES12","CG10ST112"
"CG10ES12","CG10ST113"
"CG10ES12","CG10ST115"
"CG10ES12","CG10ST126"
"CG10ES12","CG10ST133"
"CG10ES12","CG10ST138"
"CG10ES12","CG10ST144"
"CG10ES12","CG10ST166"
"CG10ES12","CG10ST186"
"CG10ES12","CG10ST192"
"CG10ES13","CG10ST1"
"CG10ES13","CG10ST2"
"CG10ES13","CG10ST17"
"CG10ES13","CG10ST23"
"CG10ES13","CG10ST27"
"CG10ES13","CG10ST33"
"CG10ES13","CG10ST49"
"CG10ES13","CG10ST56"
"CG10ES13","CG10ST64"
"CG10ES13","CG10ST57"
"CG10ES13","CG10ST67"
"CG10ES13","CG10ST69"
"CG10ES13","CG10ST77"
"CG10ES13","CG10ST80"
"CG10ES13","CG10ST94"
"CG10ES13","CG10ST98"
"CG10ES13","CG10ST103"
"CG10ES13","CG10ST112"
"CG10ES13","CG10ST113"
"CG10ES13","CG10ST115"
"CG10ES13","CG10ST126"
"CG10ES13","CG10ST133"
"CG10ES13","CG10ST138"
"CG10ES13","CG10ST144"
"CG10ES13","CG10ST166"
"CG10ES13","CG10ST186"
"CG10ES13","CG10ST192"
"CG10ES14","CG10ST46"
"CG10ES14","CG10ST113"
"CG10ES14","CG10ST115"
"CG10ES14","CG10ST175"
"CG10ES15","CG10ST36"
"CG10ES15","CG10ST113"
"CG10ES15","CG10ST115"
"CG10ES15","CG10ST155"
"CG10ES15","CG10ST175"
"CG10ES16","CG10ST24"
"CG10ES16","CG10ST32"
"CG10ES16","CG10ST66"
"CG10ES16","CG10ST74"
"CG10ES16","CG10ST88"
"CG10ES16","CG10ST108"
"CG10ES16","CG10ST109"
"CG10ES16","CG10ST170"
"CG10ES17","CG10ST24"
"CG10ES17","CG10ST32"
"CG10ES17","CG10ST66"
"CG10ES17","CG10ST74"
"CG10ES17","CG10ST88"
"CG10ES17","CG10ST108"
"CG10ES17","CG10ST109"
"CG10ES17","CG10ST170"
"CG10ES18","CG10ST3"
"CG10ES18","CG10ST12"
"CG10ES18","CG10ST18"
"CG10ES18","CG10ST34"
"CG10ES18","CG10ST50"
"CG10ES18","CG10ST53"
"CG10ES18","CG10ST54"
"CG10ES18","CG10ST68"
"CG10ES18","CG10ST110"
"CG10ES18","CG10ST120"
"CG10ES18","CG10ST132"
"CG10ES18","CG10ST134"
"CG10ES18","CG10ST149"
"CG10ES18","CG10ST93"
"CG10ES18","CG10ST183"
"CG10ES19","CG10ST164"
"CG10ES20","CG10ST13"
"CG10ES20","CG10ST14"
"CG10ES20","CG10ST29"
"CG10ES20","CG10ST131"
"CG10ES20","CG10ST181"
"CG10ES21","CG10ST13"
"CG10ES21","CG10ST14"
"CG10ES21","CG10ST29"
"CG10ES21","CG10ST131"
"CG10ES21","CG10ST181"
"CG10ES22","CG10ST71"
"CG10ES22","CG10ST136"
"CG10ES22","CG10ST182"
"CG10ES23","CG10ST65"
"CG10ES23","CG10ST83"
"CG10ES23","CG10ST104"
"CG10ES24","CG10ST11"
"CG10ES24","CG10ST123"
"CG10ES24","CG10ST92"
"CG10ES25","CG10ST85"
"CG10ES25","CG10ST158"
"CG10ES25","CG10ST167"
"CG10ES25","CG10ST168"
"CG10ES25","CG10ST169"
"CG10ES25","CG10ST191"
"CG10ES26","CG10ST119"
